21:53:20:057, 1923, 0
21:53:20:166, 1891, 0
21:53:20:275, 1895, 0
21:53:20:385, 1905, 0
21:53:20:494, 1955, 0
21:53:20:604, 1957, 0
21:53:20:713, 1941, 0
21:53:20:822, 1941, 0
21:53:20:932, 1936, 0
21:53:21:041, 1958, 0
21:53:21:041, 1898, 0
21:53:21:150, 1938, 0
21:53:21:260, 1906, 0
21:53:21:369, 1904, 0
21:53:21:479, 1955, 0
21:53:21:588, 1930, 0
21:53:21:697, 1914, 0
21:53:21:807, 1915, 0
21:53:21:916, 1956, 0
21:53:22:026, 1906, 0
21:53:22:135, 4095, 0
21:53:22:244, 4095, 0
21:53:22:244, 4095, 0
21:53:22:354, 4095, 0
21:53:22:463, 4095, 0
21:53:22:572, 4095, 0
21:53:22:682, 4095, 0
21:53:22:791, 4095, 0
21:53:22:901, 4095, 0
21:53:23:010, 4095, 0
21:53:23:119, 4095, 0
21:53:23:229, 4095, 0
21:53:23:338, 4095, 0
21:53:23:338, 4095, 0
21:53:23:447, 4095, 0
21:53:23:557, 2823, 0
21:53:23:666, 1987, 0
21:53:23:776, 1989, 0
21:53:23:885, 1969, 0
21:53:23:994, 2007, 0
21:53:24:104, 2007, 0
21:53:24:213, 2019, 0
21:53:24:323, 1991, 0
21:53:24:432, 2022, 0
21:53:24:541, 1981, 0
21:53:24:541, 2027, 0
21:53:24:651, 2031, 0
21:53:24:760, 2031, 0
21:53:24:869, 2343, 0
21:53:24:979, 2578, 0
21:53:25:088, 2943, 0
21:53:25:198, 3139, 0
21:53:25:307, 3193, 0
21:53:25:416, 3199, 0
21:53:25:526, 3195, 0
21:53:25:635, 3185, 0
21:53:25:744, 3185, 0
21:53:25:744, 3183, 0
21:53:25:854, 3179, 0
21:53:25:963, 3199, 0
21:53:26:073, 3167, 0
21:53:26:182, 4095, 0
21:53:26:291, 4095, 0
21:53:26:401, 1955, 0
21:53:26:510, 1900, 0
21:53:26:619, 1905, 0
21:53:26:729, 1938, 0
21:53:53:730, 1955, 0
21:53:53:855, 1949, 0
21:53:53:855, 1956, 0
21:53:53:855, 1956, 0
21:53:53:965, 1903, 0
21:53:54:074, 1900, 0
21:53:54:183, 1914, 0
21:53:54:293, 1914, 0
21:53:54:402, 1917, 0
21:53:54:511, 1903, 0
21:53:54:621, 1922, 0
21:53:54:730, 1927, 0
21:53:54:840, 1916, 0
21:53:54:840, 1899, 0
21:53:54:949, 1945, 0
21:53:55:058, 1941, 0
21:53:55:168, 1942, 0
21:53:55:277, 1920, 0
21:53:55:386, 1938, 0
21:53:55:496, 1894, 0
21:53:55:605, 1903, 0
21:53:55:715, 1903, 0
21:53:55:834, 1953, 0
21:53:55:943, 1893, 0
21:53:55:943, 1905, 0
21:53:56:052, 1935, 0
21:53:56:162, 1938, 0
21:53:56:271, 1899, 0
21:53:56:381, 1951, 0
21:53:56:490, 1907, 0
21:53:56:599, 1911, 0
21:53:56:709, 1899, 0
21:53:56:818, 1927, 0
21:53:56:927, 1949, 0
21:53:57:037, 1923, 0
21:53:57:146, 1905, 0
21:53:57:146, 1954, 0
21:53:57:256, 1949, 0
21:53:57:365, 1949, 0
21:53:57:474, 1923, 0
21:53:57:584, 1914, 0
21:53:57:693, 1934, 0
21:53:57:802, 1925, 0
21:53:57:912, 1907, 0
21:53:58:021, 1929, 0
21:53:58:131, 1926, 0
21:53:58:240, 1942, 0
21:53:58:240, 1927, 0
21:53:58:349, 1920, 0
21:53:58:459, 1905, 0
21:53:58:568, 1923, 0
21:53:58:678, 4095, 0
21:53:58:787, 4095, 0
21:53:58:896, 4095, 0
21:53:59:006, 4095, 0
21:53:59:115, 4095, 0
21:53:59:224, 4095, 0
21:53:59:334, 4095, 0
21:53:59:443, 4095, 0
21:53:59:443, 4095, 0
21:53:59:553, 4095, 0
21:53:59:662, 4095, 0
21:53:59:771, 4095, 0
21:53:59:881, 4095, 0
21:53:59:990, 4095, 0
21:54:00:099, 4095, 0
21:54:00:209, 1905, 0
21:54:00:318, 1951, 0
21:54:00:428, 1906, 0
21:54:00:537, 1922, 0
21:54:00:646, 1951, 0
21:54:00:646, 1949, 0
21:54:00:756, 1906, 0
21:54:00:865, 1946, 0
21:54:00:975, 1937, 0
21:54:01:084, 1941, 0
21:54:01:193, 1954, 0
21:54:01:303, 1953, 0
21:54:01:412, 1904, 0
21:54:01:521, 1914, 0
21:54:01:631, 1904, 0
21:54:01:740, 1926, 0
21:54:01:740, 1914, 0
21:54:01:850, 1936, 0
21:54:01:959, 1935, 0
21:54:02:068, 1930, 0
21:54:02:178, 1907, 0
21:54:02:287, 1927, 0
21:54:02:396, 1934, 0
21:54:02:506, 1904, 0
21:54:02:615, 1942, 0
21:54:02:725, 1937, 0
21:54:02:834, 518, 0
21:54:02:943, 0, 0
21:54:02:943, 0, 0
21:54:03:053, 0, 0
21:54:03:162, 0, 0
21:54:03:271, 0, 0
21:54:03:381, 0, 0
21:54:03:490, 0, 0
21:54:03:600, 0, 0
21:54:03:709, 0, 0
21:54:03:818, 0, 0
21:54:03:928, 0, 0
21:54:04:037, 0, 0
21:54:04:147, 0, 0
21:54:04:147, 0, 0
21:54:04:256, 0, 0
21:54:04:365, 0, 0
21:54:04:475, 0, 0
21:54:04:584, 656, 0
21:54:04:693, 1936, 0
21:54:04:803, 1936, 0
21:54:04:912, 1936, 0
21:54:05:022, 1945, 0
21:54:05:131, 1938, 0
21:54:05:240, 1947, 0
21:54:05:240, 1943, 0
21:54:05:350, 1952, 0
21:54:05:459, 1911, 0
21:54:05:568, 1950, 0
21:54:05:678, 1906, 0
21:54:05:787, 1936, 0
21:54:05:897, 1935, 0
21:54:06:006, 1904, 0
